,name,rating,review_count,latitude,longitude,categories,location,city_bikes_ll
88,Al Caratello,4.5,222,48.885237,2.335898,Italian,5 rue Audran,"48.87929591733507,2.3373600840568547"
89,le 23 Clauzel,4.0,28,48.879257,2.337556,French,23 rue Clauzel,"48.87929591733507,2.3373600840568547"
90,Puce,5.0,14,48.880490700315896,2.33468323306787,"Cafes, Tapas Bars, Gastropubs",1 rue Chaptal,"48.87929591733507,2.3373600840568547"
91,Maison Landemaine,4.5,25,48.87832,2.33975,"Bakeries, Salad, Sandwiches",26 rue des Martyrs,"48.87929591733507,2.3373600840568547"
92,Le Bon Georges,4.5,58,48.877657,2.337197,Bistros,45 rue Saint-Georges,"48.87929591733507,2.3373600840568547"
93,Lulu White,4.5,81,48.88165,2.33745,Cocktail Bars,12 rue Frochot,"48.87929591733507,2.3373600840568547"
94,Café Marlette,4.0,67,48.880275,2.339808,"Bakeries, Breakfast & Brunch",51 rue des Martyrs,"48.87929591733507,2.3373600840568547"
95,Clasico Argentino,4.0,18,48.8803859159267,2.33761990959202,"Argentine, Ice Cream & Frozen Yogurt, Latin American",22 rue Henry Monnier,"48.87929591733507,2.3373600840568547"
96,Le Basilic,4.0,167,48.886,2.33428,French,33 rue Lepic,"48.87929591733507,2.3373600840568547"
97,Ito Izakaya,4.0,25,48.8805719,2.3350294,"Japanese, Tapas Bars, Pan Asian",4 rue Pierre Fontaine,"48.87929591733507,2.3373600840568547"
98,The Hardware Société,4.5,196,48.88688,2.3445299,"Coffee & Tea, Breakfast & Brunch, Australian",10 rue Lamarck,"48.87929591733507,2.3373600840568547"
99,Le Potager du Père Thierry,4.5,454,48.884476,2.341335,French,16 rue des Trois Frères,"48.87929591733507,2.3373600840568547"
100,Septime,4.5,146,48.85355,2.380665,Modern European,80 rue de Charonne,"48.855907555969,2.3925706744194"
101,Clamato,4.5,96,48.85357,2.38037,"Seafood, French",80 rue Charonne,"48.855907555969,2.3925706744194"
102,L'Echoppe de Paris,4.5,50,48.853963,2.387988,"Burgers, Bistros",16 rue Léon Frot,"48.855907555969,2.3925706744194"
103,Fulgurances l'Adresse,4.5,21,48.852939899999996,2.3898799,French,10 rue Alexandre Dumas,"48.855907555969,2.3925706744194"
104,Le Piston Pelican,4.0,24,48.85673,2.39563,"Bistros, Fish & Chips",15 rue de Bagnolet,"48.855907555969,2.3925706744194"
105,Cimetière du Père Lachaise,4.5,258,48.859885999999996,2.390963,"Funeral Services & Cemeteries, Local Flavor",16 rue du Repos,"48.855907555969,2.3925706744194"
106,Waly-Fay,4.0,86,48.854577902096004,2.3816630237536,African,6 rue Godefroy Cavaignac,"48.855907555969,2.3925706744194"
107,La Table de Claire,4.0,10,48.8560283,2.388416,French,30 rue Emile Lepeu,"48.855907555969,2.3925706744194"
108,Louie Louie,4.5,45,48.8534999,2.3803,"Pizza, Cocktail Bars",78 rue de Charonne,"48.855907555969,2.3925706744194"
109,Auciel,4.5,40,48.854375,2.383591,"Chinese, Hot Pot",97 rue de Charonne,"48.855907555969,2.3925706744194"
