,name_x,rating,review_count,latitude_x,longitude_x,categories,location,city_bikes_ll,latitude_y,longitude_y,name_y,free_bikes,empty_slots,extra.uid,Total_slots,Station_usage_percentage
2401,Biclowne Cafe,4.5,4,48.88871,2.3929,"French, Cafes",210 ave Jean Jaurès,"48.88650687534334,2.3938155401308374",48.88650687534334,2.3938155401308374,Petit - Manin,8,13,19019,21,61.904761904761905
2402,Aux Saveurs du Liban,3.5,11,48.88705,2.39245,Middle Eastern,11 rue Eugène Jumin,"48.88650687534334,2.3938155401308374",48.88650687534334,2.3938155401308374,Petit - Manin,8,13,19019,21,61.904761904761905
2403,Tib's,3.0,6,48.8861781,2.3937148,Restaurants,161 Rue Manin,"48.88650687534334,2.3938155401308374",48.88650687534334,2.3938155401308374,Petit - Manin,8,13,19019,21,61.904761904761905
2404,Le Balcon,3.5,6,48.889174,2.3936148,French,221 Avenue Jean Jaurès,"48.88650687534334,2.3938155401308374",48.88650687534334,2.3938155401308374,Petit - Manin,8,13,19019,21,61.904761904761905
2405,Café des Concerts,2.5,32,48.88903,2.39308,"Cafes, French, Lounges",213 avenue Jean Jaurès,"48.88650687534334,2.3938155401308374",48.88650687534334,2.3938155401308374,Petit - Manin,8,13,19019,21,61.904761904761905
2406,Au Petit Pot,4.0,4,48.8875008,2.3922501,Bistros,19 rue Eugène Jumin,"48.88650687534334,2.3938155401308374",48.88650687534334,2.3938155401308374,Petit - Manin,8,13,19019,21,61.904761904761905
2407,Léa,4.0,8,48.8275367,2.4046947,Lebanese,152 rue Paris,"48.82663907252554,2.4059280753135686",48.82663907252554,2.405928075313569,Place des Marseillais,16,19,42207,35,54.285714285714285
2408,Bistrot de Charenton,4.0,9,48.82465,2.408558,French,123 rue de Paris,"48.82663907252554,2.4059280753135686",48.82663907252554,2.405928075313569,Place des Marseillais,16,19,42207,35,54.285714285714285
2409,La Cipale,4.5,6,48.82471,2.412518,French,51 avenue de Gravelle,"48.82663907252554,2.4059280753135686",48.82663907252554,2.405928075313569,Place des Marseillais,16,19,42207,35,54.285714285714285
2410,Le Pavillon Céleste,3.5,5,48.8257932,2.4073842,Restaurants,116 bis Rue Paris,"48.82663907252554,2.4059280753135686",48.82663907252554,2.405928075313569,Place des Marseillais,16,19,42207,35,54.285714285714285
2411,cafe paris sports,3.5,4,48.8258459,2.4072869,"Restaurants, Food",116 rue de Paris,"48.82663907252554,2.4059280753135686",48.82663907252554,2.405928075313569,Place des Marseillais,16,19,42207,35,54.285714285714285
2412,Novotel Gourmet Bar,1.0,1,48.826504,2.405267,French,3-5 place des Marseillais,"48.82663907252554,2.4059280753135686",48.82663907252554,2.405928075313569,Place des Marseillais,16,19,42207,35,54.285714285714285
2413,L'Escale de Marrakech,4.5,14,48.83491,2.40108,Moroccan,49 bis avenue Général Michel Bizot,"48.82663907252554,2.4059280753135686",48.82663907252554,2.405928075313569,Place des Marseillais,16,19,42207,35,54.285714285714285
2414,Pelouse de Reuilly,4.5,4,48.83016,2.406523,Parks,Bois de Vincennes,"48.82663907252554,2.4059280753135686",48.82663907252554,2.405928075313569,Place des Marseillais,16,19,42207,35,54.285714285714285
2415,Tante Eugenie,4.0,2,48.82452,2.4087400000000003,"French, Wine Bars",121 rue de Paris,"48.82663907252554,2.4059280753135686",48.82663907252554,2.405928075313569,Place des Marseillais,16,19,42207,35,54.285714285714285
2416,Traiteur Grenade,5.0,1,48.8263,2.406797,"Turkish, Mediterranean, Lebanese",120 rue de Paris,"48.82663907252554,2.4059280753135686",48.82663907252554,2.405928075313569,Place des Marseillais,16,19,42207,35,54.285714285714285
2417,Le Kanoun,3.5,12,48.828392,2.403011,Moroccan,164 Rue Paris,"48.82663907252554,2.4059280753135686",48.82663907252554,2.405928075313569,Place des Marseillais,16,19,42207,35,54.285714285714285
2418,Foire du Trône,3.0,6,48.82902,2.40784,Amusement Parks,Pelouse de Reuilly,"48.82663907252554,2.4059280753135686",48.82663907252554,2.405928075313569,Place des Marseillais,16,19,42207,35,54.285714285714285
2419,La Maison du Poulet,4.5,2,48.836365,2.391686,"Bistros, Lounges, Halal",280 rue de Charenton,"48.83667579640627,2.391795855555629",48.83667579640627,2.3917958555556287,Charenton - Wattignies,31,1,12030,32,3.125
2420,Maison Honoré,4.0,7,48.83731,2.39117,Bakeries,237 rue de Charenton,"48.83667579640627,2.391795855555629",48.83667579640627,2.3917958555556287,Charenton - Wattignies,31,1,12030,32,3.125
2421,Brioche Dorée,3.5,3,48.8805601,2.4773111,Fast Food,avenue du Général de Gaulle,"48.88115023337061,2.480436824262142",48.88115023337061,2.480436824262142,Gare Rosny-Bois-Perrier,31,4,31103,35,11.428571428571429
2422,Fresh & Pop,4.5,2,48.87426,2.48254,"Burgers, Fast Food",15 allée Gabriel Zinrhelt,"48.88115023337061,2.480436824262142",48.88115023337061,2.480436824262142,Gare Rosny-Bois-Perrier,31,4,31103,35,11.428571428571429
2423,Paradise Cafe,4.5,3,48.8731,2.48248,"Tanning, Fast Food",15 Place Carnot,"48.88115023337061,2.480436824262142",48.88115023337061,2.480436824262142,Gare Rosny-Bois-Perrier,31,4,31103,35,11.428571428571429
2424,Maison Auguste,5.0,1,48.890208385066096,2.19546350095093,Bakeries,28 rue Henri Barbusse,"48.888912037698766,2.195632159709931",48.88891203769877,2.195632159709931,Chanzy - Sud-Est,23,2,92003,25,8.0
2425,La Fromentine,3.0,2,48.8902169,2.1955307,Bakeries,28 Rue Henri Barbusse,"48.888912037698766,2.195632159709931",48.88891203769877,2.195632159709931,Chanzy - Sud-Est,23,2,92003,25,8.0
2426,Boucherie du Marché,1.0,1,48.89001079999999,2.1951721,Butcher,7 Marché,"48.888912037698766,2.195632159709931",48.88891203769877,2.195632159709931,Chanzy - Sud-Est,23,2,92003,25,8.0
2427,Laurence Cam,1.0,1,48.8901208,2.1953586,Bakeries,1 Marché,"48.888912037698766,2.195632159709931",48.88891203769877,2.195632159709931,Chanzy - Sud-Est,23,2,92003,25,8.0
2428,Le Dragon,2.0,2,48.8896526,2.196184,Pan Asian,12 Rue Castel Marly,"48.888912037698766,2.195632159709931",48.88891203769877,2.195632159709931,Chanzy - Sud-Est,23,2,92003,25,8.0
2429,Le Point Central,4.0,1,48.8910874,2.1950154,Brasseries,9-11 rue Maurice Thorez,"48.888912037698766,2.195632159709931",48.88891203769877,2.195632159709931,Chanzy - Sud-Est,23,2,92003,25,8.0
2430,Crêperie du Centre,1.0,1,48.8899141,2.1975887000000003,Restaurants,13 Place Gabriel Péri,"48.888912037698766,2.195632159709931",48.88891203769877,2.195632159709931,Chanzy - Sud-Est,23,2,92003,25,8.0
2431,Crêpissime,3.5,6,48.881031,2.18345,Creperies,126 Av Paul Doumer,"48.888912037698766,2.195632159709931",48.88891203769877,2.195632159709931,Chanzy - Sud-Est,23,2,92003,25,8.0
2432,Auberge de Souss,3.5,7,48.881947,2.186593,Moroccan,61 Avenue Paul Doumer,"48.888912037698766,2.195632159709931",48.88891203769877,2.195632159709931,Chanzy - Sud-Est,23,2,92003,25,8.0
2433,restaurant,4.0,9,48.8824081,2.1873400000000003,French,62 paul doumer,"48.888912037698766,2.195632159709931",48.88891203769877,2.195632159709931,Chanzy - Sud-Est,23,2,92003,25,8.0
2434,Nuance Café,4.5,11,48.84508,2.35486,Cafes,16 rue Linné,"48.845665,2.355653",48.845665000000004,2.3556529999999998,Jussieu - Guy de la Brosse,4,36,5119,40,90.0
2435,Espace Vert,5.0,1,48.90322000000001,2.39238,Restaurants,89 avenue Edouard Vaillant,"48.90271566255436,2.3933270573616032",48.90271566255436,2.3933270573616032,Gabrielle Josserand - Edouard Vaillant,15,8,35003,23,34.78260869565217
2436,Toros,5.0,1,48.89419,2.40667,"Fast Food, Turkish, Kebab",70 Rue Victor Hugo,"48.89206174403158,2.4091735482215886",48.89206174403158,2.4091735482215886,Jean Lolive - Parc Stalingrad,10,11,35009,21,52.38095238095239
2437,Oishi Sushi,5.0,1,48.89447,2.4049299,Sushi Bars,33 rue Victor Hugo,"48.89206174403158,2.4091735482215886",48.89206174403158,2.4091735482215886,Jean Lolive - Parc Stalingrad,10,11,35009,21,52.38095238095239
2438,Le Soleil,3.5,2,48.8899,2.40929,French,109 av Michelet,"48.89206174403158,2.4091735482215886",48.89206174403158,2.4091735482215886,Jean Lolive - Parc Stalingrad,10,11,35009,21,52.38095238095239
2439,Visconti,4.0,13,48.87825,2.29893,"Pizza, Italian",89 bd de Courcelles,"48.878199928923124,2.2992860188665043",48.878199928923124,2.2992860188665043,Courcelles - Place des Ternes,4,26,8055,30,86.66666666666667
2440,Les Nouilles Fraiches,5.0,5,48.8475092,2.29966,"Chinese, Ramen",32 rue Frémicourt,"48.845847561366,2.3017574474216",48.84584756136599,2.3017574474216,Cambronne - Villa Croix Nivert,54,6,15011,60,10.0
2441,Mina Mahal,3.5,12,48.84619,2.301994,"Indian, Pakistani",25 rue Cambronne,"48.845847561366,2.3017574474216",48.84584756136599,2.3017574474216,Cambronne - Villa Croix Nivert,54,6,15011,60,10.0
2442,Le Five FC,4.0,1,48.8964712867012,2.36094522498496,"Bars, Soccer",32 rue Moussorsgki,"48.903281401126755,2.368072383105755",48.903281401126755,2.368072383105755,Victor Hugo - Magasins Généraux,22,12,33001,34,35.294117647058826
2443,Ellis Gourmet Burger,2.0,3,48.89774,2.373723,Burgers,62 rue Césaria Évora,"48.903281401126755,2.368072383105755",48.903281401126755,2.368072383105755,Victor Hugo - Magasins Généraux,22,12,33001,34,35.294117647058826
2444,Au Duc de la Chapelle,4.5,6,48.89549,2.36325,Bakeries,28 rue Tristan Tzara,"48.903281401126755,2.368072383105755",48.903281401126755,2.368072383105755,Victor Hugo - Magasins Généraux,22,12,33001,34,35.294117647058826
2445,La Cantine Libanaise,2.0,1,48.89830300000001,2.374269,Lebanese,185 boulevard Macdonald,"48.903281401126755,2.368072383105755",48.903281401126755,2.368072383105755,Victor Hugo - Magasins Généraux,22,12,33001,34,35.294117647058826
2446,Léon de B,5.0,1,48.8984206953258,2.37517901119232,Belgian,183 bd McDonald,"48.903281401126755,2.368072383105755",48.903281401126755,2.368072383105755,Victor Hugo - Magasins Généraux,22,12,33001,34,35.294117647058826
2447,Let's Wok,4.0,1,48.89859000000001,2.3783,"Wok, Buffets, Pan Asian",155 boulevard Macdonald,"48.903281401126755,2.368072383105755",48.903281401126755,2.368072383105755,Victor Hugo - Magasins Généraux,22,12,33001,34,35.294117647058826
2448,Kyoto restaurant japonais,5.0,1,48.90345,2.3747101,Japanese,23 rue Madeleine Vionnet,"48.903281401126755,2.368072383105755",48.903281401126755,2.368072383105755,Victor Hugo - Magasins Généraux,22,12,33001,34,35.294117647058826
2449,Maison Pradier,4.0,10,48.875436,2.327025,"Bakeries, Cafes",107-109 rue Saint-Lazare,"48.875674400851,2.3265598341823",48.875674400851004,2.3265598341822997,Gare Saint-Lazare - Cour du Havre,4,41,8002,45,91.11111111111111
2450,Triadou Haussmann,3.0,72,48.8741440339748,2.32554371580972,"French, Bars, Brasseries",80 bd Haussmann,"48.875674400851,2.3265598341823",48.875674400851004,2.3265598341822997,Gare Saint-Lazare - Cour du Havre,4,41,8002,45,91.11111111111111
2451,Royal92,5.0,1,48.904906200000006,2.3023698,Restaurants,112 Boulevard Jean Jaurès,"48.905169868129036,2.3023840785026555",48.90516986812904,2.3023840785026555,Guichet - Jean Jaurès,26,2,21109,28,7.142857142857142
2452,Le Gantxo,4.0,1,48.9049365,2.3028904,French,Quartier du Port,"48.905169868129036,2.3023840785026555",48.90516986812904,2.3023840785026555,Guichet - Jean Jaurès,26,2,21109,28,7.142857142857142
2453,La Clichoise,4.0,9,48.90443079999999,2.3031935000000003,Bakeries,3 rue de Landy,"48.905169868129036,2.3023840785026555",48.90516986812904,2.3023840785026555,Guichet - Jean Jaurès,26,2,21109,28,7.142857142857142
2454,Saint Louis II,4.5,4,48.9044335,2.3032,Creperies,3 Rue Landy,"48.905169868129036,2.3023840785026555",48.90516986812904,2.3023840785026555,Guichet - Jean Jaurès,26,2,21109,28,7.142857142857142
